Data,Codi Estació,Codi massa d'aigua,Massa d'aigua,UTM X,UTM Y,Variable,Profunditat mostra (m),Valor,Unitat Mesura,Fondària Pou (m),Cota del nivell piezomètric (m.s.n.m)
2015/06/30,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.63,m,13.2,38.37
2015/06/30,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.63,m,13.2,40.37
2015/06/30,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.9,m,12,36.1
2015/07/08,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.75,m,13.2,38.25
2015/07/08,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.75,m,13.2,40.25
2015/07/08,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.89,m,12,36.11
2015/07/15,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.76,m,13.2,38.24
2015/07/15,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.76,m,13.2,40.24
2015/07/15,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.91,m,12,36.09
2015/07/17,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.65,m,7.1,56.35
2015/07/17,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,6.9,m,15.1,28.1
2015/07/30,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.8,m,13.2,38.2
2015/07/30,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.8,m,13.2,40.2
2015/07/30,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.9,m,12,36.1
2015/08/21,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.6,m,7.1,56.4
2015/08/21,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,4,m,15.1,31
2015/08/31,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.75,m,13.2,38.25
2015/08/31,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.75,m,13.2,40.25
2015/08/31,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.99,m,12,36.01
2015/09/10,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.75,m,13.2,38.25
